Sampling period:25
Computed magnitudes:
0: 0Hz 1901
1: 78Hz 649
2: 156Hz 514
3: 234Hz 406
4: 313Hz 116
5: 391Hz 735
6: 469Hz 151
7: 547Hz 157
8: 625Hz 375
9: 703Hz 201
10: 781Hz 284
11: 859Hz 1167
12: 938Hz 29371
13: 1016Hz 48063
14: 1094Hz 13603
15: 1172Hz 561
16: 1250Hz 202
17: 1328Hz 261
18: 1406Hz 169
19: 1484Hz 341
20: 1563Hz 400
21: 1641Hz 181
22: 1719Hz 8
23: 1797Hz 390
24: 1875Hz 248
25: 1953Hz 363
26: 2031Hz 219
27: 2109Hz 123
28: 2188Hz 224
29: 2266Hz 135
30: 2344Hz 379
31: 2422Hz 189
32: 2500Hz 117
33: 2578Hz 192
34: 2656Hz 278
35: 2734Hz 195
36: 2813Hz 569
37: 2891Hz 514
38: 2969Hz 327
39: 3047Hz 510
40: 3125Hz 373
41: 3203Hz 227
42: 3281Hz 70
43: 3359Hz 40
44: 3438Hz 363
45: 3516Hz 150
46: 3594Hz 430
47: 3672Hz 364
48: 3750Hz 322
49: 3828Hz 216
50: 3906Hz 364
51: 3984Hz 364
52: 4063Hz 326
53: 4141Hz 377
54: 4219Hz 554
55: 4297Hz 141
56: 4375Hz 142
57: 4453Hz 411
58: 4531Hz 371
59: 4609Hz 279
60: 4688Hz 241
61: 4766Hz 202
62: 4844Hz 142
63: 4922Hz 201
64: 5000Hz 113
65: 5078Hz 242
66: 5156Hz 186
67: 5234Hz 139
68: 5313Hz 146
69: 5391Hz 220
70: 5469Hz 219
71: 5547Hz 526
72: 5625Hz 334
73: 5703Hz 183
74: 5781Hz 49
75: 5859Hz 420
76: 5938Hz 384
77: 6016Hz 152
78: 6094Hz 149
79: 6172Hz 340
80: 6250Hz 236
81: 6328Hz 239
82: 6406Hz 203
83: 6484Hz 257
84: 6563Hz 223
85: 6641Hz 541
86: 6719Hz 446
87: 6797Hz 157
88: 6875Hz 506
89: 6953Hz 456
90: 7031Hz 289
91: 7109Hz 203
92: 7188Hz 104
93: 7266Hz 163
94: 7344Hz 340
95: 7422Hz 367
96: 7500Hz 468
97: 7578Hz 283
98: 7656Hz 126
99: 7734Hz 202
100: 7813Hz 274
101: 7891Hz 229
102: 7969Hz 310
103: 8047Hz 226
104: 8125Hz 79
105: 8203Hz 246
106: 8281Hz 250
107: 8359Hz 315
108: 8438Hz 302
109: 8516Hz 380
110: 8594Hz 464
111: 8672Hz 247
112: 8750Hz 225
113: 8828Hz 194
114: 8906Hz 396
115: 8984Hz 397
116: 9063Hz 184
117: 9141Hz 40
118: 9219Hz 156
119: 9297Hz 268
120: 9375Hz 578
121: 9453Hz 256
122: 9531Hz 177
123: 9609Hz 148
124: 9688Hz 439
125: 9766Hz 535
126: 9844Hz 262
127: 9922Hz 419
128: 10000Hz 460
129: 10078Hz 331
130: 10156Hz 290
131: 10234Hz 133
132: 10313Hz 47
133: 10391Hz 177
134: 10469Hz 462
135: 10547Hz 169
136: 10625Hz 153
137: 10703Hz 306
138: 10781Hz 143
139: 10859Hz 413
140: 10938Hz 447
141: 11016Hz 85
142: 11094Hz 201
143: 11172Hz 401
144: 11250Hz 253
145: 11328Hz 163
146: 11406Hz 161
147: 11484Hz 148
148: 11563Hz 136
149: 11641Hz 230
150: 11719Hz 159
151: 11797Hz 155
152: 11875Hz 131
153: 11953Hz 305
154: 12031Hz 515
155: 12109Hz 241
156: 12188Hz 315
157: 12266Hz 193
158: 12344Hz 140
159: 12422Hz 555
160: 12500Hz 174
161: 12578Hz 307
162: 12656Hz 109
163: 12734Hz 183
164: 12813Hz 291
165: 12891Hz 419
166: 12969Hz 438
167: 13047Hz 224
168: 13125Hz 371
169: 13203Hz 643
170: 13281Hz 306
171: 13359Hz 207
172: 13438Hz 239
173: 13516Hz 208
174: 13594Hz 357
175: 13672Hz 312
176: 13750Hz 256
177: 13828Hz 105
178: 13906Hz 215
179: 13984Hz 472
180: 14063Hz 194
181: 14141Hz 164
182: 14219Hz 432
183: 14297Hz 436
184: 14375Hz 179
185: 14453Hz 210
186: 14531Hz 173
187: 14609Hz 234
188: 14688Hz 311
189: 14766Hz 256
190: 14844Hz 286
191: 14922Hz 345
192: 15000Hz 209
193: 15078Hz 67
194: 15156Hz 127
195: 15234Hz 64
196: 15313Hz 236
197: 15391Hz 172
198: 15469Hz 191
199: 15547Hz 154
200: 15625Hz 162
201: 15703Hz 86
202: 15781Hz 104
203: 15859Hz 269
204: 15938Hz 541
205: 16016Hz 569
206: 16094Hz 241
207: 16172Hz 177
208: 16250Hz 553
209: 16328Hz 215
210: 16406Hz 338
211: 16484Hz 214
212: 16563Hz 71
213: 16641Hz 238
214: 16719Hz 408
215: 16797Hz 37
216: 16875Hz 157
217: 16953Hz 384
218: 17031Hz 617
219: 17109Hz 357
220: 17188Hz 403
221: 17266Hz 514
222: 17344Hz 264
223: 17422Hz 202
224: 17500Hz 142
225: 17578Hz 274
226: 17656Hz 91
227: 17734Hz 156
228: 17813Hz 347
229: 17891Hz 145
230: 17969Hz 191
231: 18047Hz 185
232: 18125Hz 140
233: 18203Hz 281
234: 18281Hz 430
235: 18359Hz 267
236: 18438Hz 333
237: 18516Hz 143
238: 18594Hz 161
239: 18672Hz 434
240: 18750Hz 335
241: 18828Hz 253
242: 18906Hz 276
243: 18984Hz 301
244: 19063Hz 281
245: 19141Hz 327
246: 19219Hz 258
